date,fund,company,ticker,cusip,shares,market value ($),weight (%)
10/25/2021,ARKX,TRIMBLE INC,TRMB,896239100,"597,589","$52,061,953.68",9.49%
10/25/2021,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"1,157,558","$42,933,826.22",7.83%
10/25/2021,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"1,501,029","$33,743,131.92",6.15%
10/25/2021,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"136,808","$33,481,021.84",6.10%
10/25/2021,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"84,445","$31,633,097.00",5.77%
10/25/2021,ARKX,UNITY SOFTWARE INC,U,91332U101,"207,037","$29,782,272.45",5.43%
10/25/2021,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"678,652","$27,512,552.08",5.02%
10/25/2021,ARKX,KOMATSU LTD,6301,6496584,"1,010,988","$25,774,913.35",4.70%
10/25/2021,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"5,329,113","$22,348,025.91",4.07%
10/25/2021,ARKX,AEROVIRONMENT INC,AVAV,008073108,"207,075","$18,818,976.00",3.43%
10/25/2021,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"356,757","$18,123,255.60",3.30%
10/25/2021,ARKX,NETFLIX INC,NFLX,64110L106,"24,962","$16,594,238.36",3.03%
10/25/2021,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"1,707,461","$16,476,998.65",3.00%
10/25/2021,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"295,557","$16,058,878.05",2.93%
10/25/2021,ARKX,AMAZON.COM INC,AMZN,023135106,"4,612","$15,383,556.60",2.80%
10/25/2021,ARKX,THALES SA,HO,4162791,"139,711","$13,257,782.50",2.42%
10/25/2021,ARKX,DEERE & CO,DE,244199105,"32,262","$10,991,986.02",2.00%
10/25/2021,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,083,145","$9,737,473.55",1.78%
10/25/2021,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,"221,413","$9,576,112.25",1.75%
10/25/2021,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"3,343","$9,268,467.50",1.69%
10/25/2021,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,"1,420,904","$9,193,248.88",1.68%
10/25/2021,ARKX,TERADYNE INC,TER,880770102,"79,289","$9,207,038.68",1.68%
10/25/2021,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"58,060","$8,476,760.00",1.55%
10/25/2021,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"1,124,694","$7,546,696.74",1.38%
10/25/2021,ARKX,VELO3D INC,VLD,92259N104,"908,306","$7,457,192.26",1.36%
10/25/2021,ARKX,GARMIN LTD,GRMN U,B3Z5T14,"41,817","$6,906,077.55",1.26%
10/25/2021,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"278,719","$6,809,105.17",1.24%
10/25/2021,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"28,275","$6,146,985.00",1.12%
10/25/2021,ARKX,ANSYS INC,ANSS,03662Q105,"16,262","$6,017,590.48",1.10%
10/25/2021,ARKX,HEICO CORP,HEI,422806109,"41,730","$5,864,734.20",1.07%
10/25/2021,ARKX,AIRBUS SE,AIR,4012250,"42,782","$5,468,484.55",1.00%
10/25/2021,ARKX,SYNOPSYS INC,SNPS,871607107,"17,118","$5,496,932.16",1.00%
10/25/2021,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"11,126","$4,963,976.16",0.91%
10/25/2021,ARKX,BOEING CO/THE,BA,097023105,"11,839","$2,521,351.83",0.46%
10/25/2021,ARKX,NVIDIA CORP,NVDA,67066G104,"7,691","$1,747,856.66",0.32%
10/25/2021,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"1,050,757","$1,050,757.31",0.19%
