date,fund,company,ticker,cusip,shares,market value ($),weight (%)
10/14/2021,PRNT,EXONE CO/THE,XONE,302104104,"1,079,022","$24,785,135.34",5.36%
10/14/2021,PRNT,3D SYSTEMS CORP,DDD,88554D205,"831,319","$22,453,926.19",4.86%
10/14/2021,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,"10,581","$20,074,918.80",4.34%
10/14/2021,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,"265,682","$19,291,170.02",4.17%
10/14/2021,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,"899,359","$19,019,046.70",4.11%
10/14/2021,PRNT,MICROSOFT CORP,MSFT,594918104,"62,998","$18,666,937.38",4.04%
10/14/2021,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"347,984","$18,272,266.57",3.95%
10/14/2021,PRNT,CONFORMIS INC,CFMS,20717E101,"14,551,646","$18,044,041.04",3.90%
10/14/2021,PRNT,ANSYS INC,ANSS,03662Q105,"51,281","$17,836,044.61",3.86%
10/14/2021,PRNT,TRIMBLE INC,TRMB,896239100,"219,162","$17,771,846.58",3.84%
10/14/2021,PRNT,BICO GROUP AB,BICO,BKMFJ94,"329,417","$17,595,883.99",3.80%
10/14/2021,PRNT,AUTODESK INC,ADSK,052769106,"60,801","$17,234,043.45",3.73%
10/14/2021,PRNT,HP INC,HPQ,40434L105,"649,216","$17,191,239.68",3.72%
10/14/2021,PRNT,STRATASYS LTD,SSYS,M85548101,"616,991","$16,726,626.01",3.62%
10/14/2021,PRNT,RENISHAW PLC,RSW,0732358,"268,144","$16,595,064.21",3.59%
10/14/2021,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"787,771","$15,999,629.01",3.46%
10/14/2021,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"2,743,459","$15,582,847.12",3.37%
10/14/2021,PRNT,PTC INC,PTC,69370C100,"126,717","$15,292,207.56",3.31%
10/14/2021,PRNT,PROTO LABS INC,PRLB,743713109,"215,537","$14,440,979.00",3.12%
10/14/2021,PRNT,XOMETRY INC-A,XMTR,98423F109,"240,947","$14,052,029.04",3.04%
10/14/2021,PRNT,DESKTOP METAL INC-A,DM,25058X105,"1,953,706","$13,949,460.84",3.02%
10/14/2021,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"390,275","$5,963,554.09",1.29%
10/14/2021,PRNT,GENERAL ELECTRIC CO,GE,369604301,"55,649","$5,696,231.64",1.23%
10/14/2021,PRNT,SIEMENS AG-REG,SIE,5727973,"35,776","$5,677,571.40",1.23%
10/14/2021,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"9,499","$5,663,493.78",1.22%
10/14/2021,PRNT,AMETEK INC,AME,031100100,"44,705","$5,555,490.35",1.20%
10/14/2021,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"41,964","$5,558,971.08",1.20%
10/14/2021,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"70,472","$5,558,126.64",1.20%
10/14/2021,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,"79,300","$5,412,225.00",1.17%
10/14/2021,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"48,413","$5,372,390.61",1.16%
10/14/2021,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"500,857","$5,365,356.74",1.16%
10/14/2021,PRNT,EXCO TECHNOLOGIES LTD,XTC,2325392,"671,675","$5,339,280.43",1.15%
10/14/2021,PRNT,MICHELIN (CGDE),ML,4588364,"34,963","$5,306,145.60",1.15%
